"do_prace_chodim_hlavne_kvuli_prachum_lasky_mi_netreba","v_praci_chci_hlavne_jasny_procesy_rad_a_klid","nez_nakupovat_v_blbym_e-shopu_postavim_si_vlastni_na_miru","i_na_facebooku_se_da_vydelat","nejlepsi_pracovni_nastroje_jsou_ty_od_apple","software_bez_hardwaru_je_jenom_snuska_kecu","mam_hlavu_i_data_v_google_cloudu","internety_jsou_zlo_a_mely_by_se_zakazat","den_bez_nahranych_instagram_stories_je_promarnena_prilezitost","socialni_site_jen_zpomaluji_rychlost_pripojeni","rum_k_snidani_proc_ne","fotbalek_je_zaklad_dobry_pracovni_moralky","ja_antivir_nepotrebuju_to_jeste_nekdo_pouziva","chci_aby_moje_domacnost_byla_chytrejsi_nez_ja","jsem_volic_spd_a_hraji_uctenkovku","uz_davno_mam_doma_vr_bryle","v_kazdem_z_nas_je_kus_influencera","tezeni_dat_dokaze_byt_slusna_zabava","firma"
-1,0,-1,-1,2,0,1,-2,-2,0,1,-1,2,1,-2,0,1,1,"Activate"
-2,-1,-1,1,-1,0,2,-2,-2,0,2,1,-2,-1,-2,-1,0,1,"Activate"
-1,0,-2,1,2,1,1,-1,-2,2,2,0,0,2,-2,2,0,-1,"Activate"
NA,0,-1,2,2,1,2,-1,-1,-2,0,1,1,-1,-2,1,2,0,"Activate"
-2,-2,-1,1,-1,1,2,-2,-1,-2,2,0,-2,0,-2,-1,-1,0,"Activate"
-2,-2,-1,-2,-2,-1,1,-2,-1,1,1,0,-2,2,-2,0,-1,2,"Activate"
-1,-2,1,2,2,0,-1,2,-1,0,2,0,1,2,-2,-2,2,1,"Activate"
-2,-2,-1,1,2,-1,2,-2,-2,-2,1,-2,1,1,-2,-2,2,2,"Activate"
-2,-1,0,0,1,-1,1,0,-1,-1,1,0,1,1,-2,0,2,2,"Activate"
-1,0,-2,1,-2,1,0,-2,-2,-1,2,0,-1,0,-2,-2,0,1,"Activate"
-1,-1,1,1,-1,-1,2,-1,-2,1,-2,-1,-1,-2,-2,-2,1,2,"Activate"
-1,1,-1,2,1,2,0,-2,-2,-1,-2,1,-1,-1,-2,-2,1,0,"Etnetera"
-1,0,0,0,-2,0,1,-1,-1,0,1,-1,1,0,-2,-1,-1,-1,"Etnetera"
-2,0,-2,2,1,0,1,-2,-2,-2,-2,-2,-2,1,-2,-2,0,2,"Etnetera"
1,0,0,-1,1,-2,-1,2,-2,-1,2,-1,2,0,2,-2,1,-2,"Etnetera"
0,0,2,2,2,1,2,-2,1,1,1,2,0,2,1,2,1,2,"Motion"
-1,2,-1,1,0,0,-1,0,-1,1,-1,1,1,0,-2,-2,1,0,"Motion"
-2,-2,0,1,1,1,1,-2,-2,-2,2,2,-2,-1,-2,-2,2,-2,"Fragile"
-2,0,0,2,0,0,-1,0,1,0,-2,0,-1,-1,-2,-2,0,0,"Etnetera"
0,0,-1,2,-1,-1,0,-1,1,-1,-2,1,2,-1,-2,-1,1,0,"Motion"
-1,0,-1,1,-1,-1,-1,2,-1,-2,-2,1,0,1,-2,-2,1,1,"Etnetera"
-1,2,-2,-1,-2,2,-2,-2,-2,-2,-2,0,-1,-1,-2,-2,0,0,"Etnetera"
